epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.125,1.36319,0.7551,1.05928,0.80823,0.64734,0.71932,0.40708,1.46113,0.7946,1.13231,0.0405648,0.00049918,0.00049918
2,439.541,1.36333,0.73358,1.04344,0.77613,0.6364,0.70004,0.39533,1.45966,0.81219,1.11991,0.00104577,0.000980196,0.000980196
3,641.86,1.37596,0.73421,1.04097,0.81433,0.61215,0.67805,0.37436,1.4982,0.82868,1.16389,0.000962,0.000962,0.000962
4,842.355,1.37314,0.73775,1.04112,0.82054,0.6017,0.67566,0.37123,1.48293,0.83301,1.1675,0.000943,0.000943,0.000943
5,1044.4,1.35071,0.71375,1.03013,0.83808,0.616,0.69021,0.38915,1.49722,0.78574,1.13912,0.000924,0.000924,0.000924
6,1243.87,1.34921,0.70197,1.02473,0.81503,0.61974,0.68405,0.37698,1.50501,0.81751,1.11956,0.000905,0.000905,0.000905
7,1443.9,1.32951,0.68873,1.01951,0.82372,0.65745,0.71749,0.39947,1.46023,0.79812,1.12736,0.000886,0.000886,0.000886
8,1644.3,1.31255,0.68648,1.0147,0.84,0.61914,0.69772,0.38825,1.48867,0.82788,1.1535,0.000867,0.000867,0.000867
9,1843.55,1.32017,0.69432,1.01208,0.82707,0.64368,0.72214,0.40291,1.49227,0.78087,1.13927,0.000848,0.000848,0.000848
10,2045.68,1.29908,0.67617,1.01256,0.80351,0.65539,0.70526,0.40422,1.45221,0.75626,1.12462,0.000829,0.000829,0.000829
11,2249.18,1.28382,0.6516,1.00743,0.82389,0.63542,0.70595,0.40725,1.49184,0.78842,1.13478,0.00081,0.00081,0.00081
